"Display Name ACQ wood treatment Synthetic Stucco (Acrylic) [BEAM Avg | US & CA]","EPD Number / Document ID ","EPD ID Bolin & Smith, 2011, LCA Assessment of ACQ-treated lumber, Journal of Cleaner Production ","EPD Owner ","Material ACQ wood treatment Acrylic Stucco Textured Finish","Manufacturer / Organization Sto Corp.","Product Name / Description ","Specifications ","EPD Expiry "
"Asphalt Shingles / Malarkey Roofing /  Ecoasis NEX /","","4790050198.105.1","Malarkey Roofing Products","Asphalt Shingles","Malarkey Roofing","Ecoasis NEX","","2026-12-23"
"Asphalt Shingles / Malarkey Roofing /  Ecoasis Premium /","","4790050198.105.1","Malarkey Roofing Products","Asphalt Shingles","Malarkey Roofing","Ecoasis Premium","","2026-12-23"
"Asphalt Shingles / Malarkey Roofing / Dura-Seal /","","4790050198.106.1","Malarkey Roofing Products","Asphalt Shingles","Malarkey Roofing","Dura-Seal","","2026-12-23"
"Asphalt Shingles / Malarkey Roofing / Highlander NEX /","","4790050198.104.1","Malarkey Roofing Products","Asphalt Shingles","Malarkey Roofing","Highlander NEX","","2026-12-23"
"Asphalt Shingles / Malarkey Roofing / Legacy /","","4790050198.101.1","Malarkey Roofing Products","Asphalt Shingles","Malarkey Roofing","Legacy","","2026-12-23"
"Asphalt Shingles / Malarkey Roofing / Vista /","","4790050198.102.1","Malarkey Roofing Products","Asphalt Shingles","Malarkey Roofing","Vista","","2026-12-23"
"Asphalt Shingles / Malarkey Roofing / Windsor /","","4790050198.103.1","Malarkey Roofing Products","Asphalt Shingles","Malarkey Roofing","Windsor","","2026-12-23"
"Bamboo plywood / Smith & Fong / Plyboo / 1/2"" (uncarved) ","","SmartEPD-2023-009-0024-01","Smith & Fong","Bamboo plywood","Smith & Fong","Plyboo","1/2"" (12.7 mm)","2028"
"Bamboo plywood / Smith & Fong / Plyboo / 3/4"" (uncarved) ","","SmartEPD-2023-009-0024-01","Smith & Fong","Bamboo plywood","Smith & Fong","Plyboo","3/4"" (19 mm)","2028"
"Bamboo Cladding [BEAM Avg]","","","","Bamboo Cladding","Dasso, MOSO International, Lamboo","","",""
"Bamboo Cladding / Dasso / dassoXTR Bamboo RainClad® Siding / Shiplap, 3/4'' (19 mm) ","","S-P-01928 (registration MR-ENV-EPD-ZDB-20200278-EN)","Zhejiang Daocheng Bamboo Industry Co","Bamboo Cladding","Dasso","dassoXTR Bamboo RainClad® Siding","Shiplap, 0.75'' (19 mm)","2025-01-04"
"Bamboo Cladding / Dasso / dassoCTECH outdoor oiled Cladding / Shiplap, 5/8"" (18 mm) ","","S-P-01928 (registration MR-ENV-EPD-ZDB-20200278-EN)","Zhejiang Daocheng Bamboo Industry Co","Bamboo Cladding","Dasso","dassoCTECH outdoor oiled Cladding","Shiplap, 18 mm","2025-01-04"
"Bamboo Cladding / Lamboo / Rainscreen™ Facing System / 11/16"" (17 mm) ","","S-P-08118","Jeran Hammann/ Lamboo","Bamboo Cladding","Lamboo","Rainscreen™ Facing System","11/16"" ","2028-01-16"
"Bamboo Cladding / MOSO / X-treme, all profiles / Heat treated / 5/8"" (18 mm)","","EPD-NIBE-20210625-20247","MOSO International BV","Bamboo Cladding","MOSO International","X-treme, all profiles ","heat treated, 5/8"" (18 mm)","2027"
"Bamboo Flooring [BEAM Avg]","","","","Bamboo Flooring","MOSO International","","",""
"Laminated Bamboo flooring / MOSO / Bamboo Elite & Elite Premium, Industriale /  9/16"" (15mm)","","EPD-NIBE-20210322-18247","MOSO International BV","Laminated Bamboo flooring","MOSO International","Bamboo Elite & Elite Premium, Industriale","15mm, Side/Plain pressed, Moso Density, caramel.","2027"
"Hard Bamboo flooring / MOSO / Purebamboo, Topbamboo, Bamboo Supreme, UltraDensity / 9/16"" (15mm), High Density","","EPD-NIBE-20210322-18246","MOSO International BV","Hard Bamboo flooring","MOSO International","Grand, Eternal & Dynamic Collections, Bamboo Supreme & Industriale, Purebamboo, Topbamboo","15mm, Moso HighDensity, caramel.","2027"
"Hard Bamboo flooring / MOSO / Solid & Supra Collection / 20mm, High Density","","EPD-NIBE-20210322-18246","MOSO International BV","Hard Bamboo flooring","MOSO International","Solid & Supra Collection","20mm, Moso HighDensity, caramel.","2027"
